"id","f00","condition","rank_1","rank_2","rank_3","rank_4","eveTopleft","eveTopright","eveDownleft","eveDownright","presentation_order","if_ties","logical_pass","error_type","rank A-B-nichtB-nichtA","rank A-nicht-A-nicht-B-B","rank A-B-nicht-A-nicht-B","rank B-A-nicht-B-nicht-A","rank B-A-nicht-A-nicht-B","rank nicht-A-nicht-B-B-A","rank nicht-A-A-nicht-B-B","get_logic"
"ID_XGS73O0XJA","1","edge","plau4_pos","impl5_neg","impl5_pos","plau4_neg","plau4_neg","impl5_neg","impl5_pos","plau4_pos","a_b_B_A",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","2","middle","indiff10_pos","indiff3_pos","indiff10_neg","indiff3_neg","indiff10_neg","indiff3_pos","indiff3_neg","indiff10_pos","a_B_b_A",4,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","3","edge","plau4_pos","plau6_pos","plau6_neg","plau4_neg","plau4_pos","plau4_neg","plau6_neg","plau6_pos","A_a_b_B",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","4","middle","indiff5_pos","indiff2_neg","indiff2_pos","indiff5_neg","indiff5_neg","indiff2_pos","indiff5_pos","indiff2_neg","a_B_A_b",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","5","middle","indiff9_pos","indiff5_pos","indiff5_neg","indiff9_neg","indiff9_neg","indiff5_neg","indiff5_pos","indiff9_pos","a_b_B_A",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","6","middle","indiff11_pos","indiff7_pos","indiff11_neg","indiff7_neg","indiff7_pos","indiff11_neg","indiff7_neg","indiff11_pos","A_b_a_B",4,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","7","middle","indiff8_pos","indiff9_pos","indiff9_neg","indiff8_neg","indiff8_neg","indiff8_pos","indiff9_pos","indiff9_neg","a_A_B_b",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","8","edge","impl6_neg","plau6_pos","plau6_neg","impl6_pos","impl6_neg","impl6_pos","plau6_neg","plau6_pos","a_A_b_B",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","9","middle","indiff7_pos","indiff12_pos","indiff12_neg","indiff7_neg","indiff12_neg","indiff12_pos","indiff7_pos","indiff7_neg","a_A_B_b",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","10","edge","impl2_neg","plau1_pos","plau1_neg","impl2_pos","plau1_neg","plau1_pos","impl2_neg","impl2_pos","a_A_b_B",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","11","edge","impl6_pos","impl5_neg","impl5_pos","impl6_neg","impl6_neg","impl5_neg","impl6_pos","impl5_pos","a_b_A_B",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","12","edge","plau5_pos","plau3_pos","plau3_neg","plau5_neg","plau5_pos","plau3_neg","plau5_neg","plau3_pos","A_b_a_B",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","14","middle","indiff8_pos","indiff10_pos","indiff10_neg","indiff8_neg","indiff10_neg","indiff8_pos","indiff8_neg","indiff10_pos","a_B_b_A",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID_XGS73O0XJA","15","middle","indiff1_pos","indiff4_neg","indiff4_pos","indiff1_neg","indiff4_neg","indiff1_pos","indiff1_neg","indiff4_pos","a_B_b_A",4,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
